"","Country","Total_Suicides"
"Russian Federation","Russian Federation",1209742
"United States","United States",1034013
"Japan","Japan",806902
"France","France",329127
"Ukraine","Ukraine",319950
"Germany","Germany",291262
"Republic of Korea","Republic of Korea",261730
"Brazil","Brazil",226613
"Poland","Poland",139098
"United Kingdom","United Kingdom",136805
